X,Y,fid,full_id,osm_id,osm_type,amenity,operator,name:te,name,healthcare,layer,path
78.5685231,17.3286133,"526",n6532378061,"6532378061",node,hospital,,,Sri Ramadevi Orthopaedic Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5314201,17.3694424,"527",n6532379590,"6532379590",node,hospital,,,Goodlife Hospitals,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5678539,17.4455011,"528",n6536327470,"6536327470",node,hospital,,,Aashritha Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3109143,17.4707013,"529",n6536715096,"6536715096",node,hospital,,,American Oncology Institute,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3113113,17.4707742,"530",n6536715097,"6536715097",node,hospital,,,Citizens Specialty Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3072115,17.5057043,"531",n6536841915,"6536841915",node,hospital,,,Maruthi Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4275663,17.36424,"532",n6536842812,"6536842812",node,hospital,,,Usha Mohan Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5226278,17.3389598,"533",n6537106287,"6537106287",node,hospital,,,Sri Sai Orthopaedic and Multi Speciality Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5319766,17.3697132,"534",n6537138789,"6537138789",node,hospital,,,Swapna Hospital Private Limited,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4487262,17.4840637,"535",n6537169461,"6537169461",node,hospital,,,Ankura Kodali Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5448767,17.3597254,"536",n6537199550,"6537199550",node,hospital,,,Paramitha Children's Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5296565,17.344506,"537",n6537210759,"6537210759",node,hospital,,,Padmavathi Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5409902,17.3740649,"538",n6537306558,"6537306558",node,hospital,,,Sai Nikith Speciality Hospital And Laproscopic Centre,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5721809,17.3314886,"539",n6537308259,"6537308259",node,hospital,,,Jeevan Sai Hospitals,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.261268,17.5311596,"540",n6537312322,"6537312322",node,hospital,,,MaxCare Multi Speciality Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.6017188,17.3279207,"541",n6537312813,"6537312813",node,hospital,,,Sunrise Hospitals,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3640308,17.4506967,"542",n6537360032,"6537360032",node,hospital,,,Rajitha Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.2646684,17.5289972,"543",n6537551275,"6537551275",node,hospital,,,Sai Ganesh Multi Speciality Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5275,17.3707739,"544",n6538849589,"6538849589",node,hospital,,,The Doctors Multi Speciality Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5237382,17.3587987,"545",n6539071275,"6539071275",node,hospital,,,Medi Sight Eye Care centre,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4631672,17.3922555,"546",n6542441846,"6542441846",node,hospital,,,"Area Hospital, Nampally",hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4698338,17.3342065,"547",n6543812599,"6543812599",node,hospital,,,"Community Health Centre, Jangammet",hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4026083,17.3852587,"548",n6546851783,"6546851783",node,hospital,,,"Area Hospital, Golconda",,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.557759,17.3411496,"549",n6547206093,"6547206093",node,hospital,,మెడిసిస్ హాస్పిటల్స్,MEDISYS HOSPITALS (A UNIT OF OXYEN MEDICARE CANCER CARE PVT LTD ),hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3964245,17.4926185,"550",n6548781242,"6548781242",node,hospital,,,Sri Aurobindo Nethralaya,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3786482,17.4464363,"551",n6548782136,"6548782136",node,hospital,,,MAXCURE SUYOSHA WOMAN & CHILD HOSPITAL,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3842419,17.5066316,"552",n6548786015,"6548786015",node,hospital,,,CALCIUM HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5276489,17.3452377,"553",n6548789473,"6548789473",node,hospital,,,MAAX LIFE HOSPITALS,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4862155,17.469289,"554",n6548796448,"6548796448",node,hospital,Private,,KRUTI HOSPITAL ADVANCED EYE & DENTAL CARE,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5576025,17.3253704,"555",n6548797464,"6548797464",node,hospital,,,DELTA HOSPITALS,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4425692,17.4391832,"556",n6548807629,"6548807629",node,hospital,,,NETHRA EYE INSTITUE,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5523789,17.4832707,"557",n6548823374,"6548823374",node,hospital,,,MAYFLOWER HOSPITAL FOR WOMEN & CHILDREN,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5060866,17.4389273,"558",n6548826056,"6548826056",node,hospital,,,KASTURI MULTISPECIALITY HOSPITAL,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4297081,17.3802341,"559",n6548828778,"6548828778",node,hospital,,,RISE CHILDRENS HOSPITAL (A UNIT OF RISE HOSPITALS PVT. LTD.),,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5522434,17.3658656,"560",n6548833978,"6548833978",node,hospital,,,AVANI LASER EYE HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5521227,17.3739165,"561",n6548846382,"6548846382",node,hospital,,,SANJEEVANI HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3672388,17.4497269,"562",n6548854401,"6548854401",node,hospital,,,Kakatiya Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3709408,17.5254356,"563",n6548861206,"6548861206",node,hospital,Private,,ARUNODAYA HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5959991,17.4962655,"564",n6548866161,"6548866161",node,hospital,Private,,SUNLIFES HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.571436,17.473687,"565",n6548874152,"6548874152",node,hospital,,,SOLIS EYE CARE HOSPITALS PVT LTD,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.6032966,17.3270322,"566",n6548877079,"6548877079",node,hospital,,,Shadow Hospitals,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4573924,17.3949495,"567",n6548879008,"6548879008",node,hospital,,,SRISHTI EYE CENTRE,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5762921,17.3360462,"568",n6548891585,"6548891585",node,hospital,,,LEGEND HOSPITAL,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4280745,17.3612589,"569",n6548894505,"6548894505",node,hospital,,,SAI SURYA HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4143068,17.3985564,"570",n6548903087,"6548903087",node,hospital,,,Apple Multi Speciality Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5389222,17.4657813,"571",n6548910436,"6548910436",node,hospital,,,SUDHA HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5570419,17.3623879,"572",n6548918441,"6548918441",node,hospital,,,Nakshatra Hospitals,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.570819,17.3392197,"573",n6548950430,"6548950430",node,hospital,,,EVYA HOSPITALS AND DIABETIC RESERACH CENTER,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.481999,17.3932243,"574",n6549028392,"6549028392",node,hospital,,,"District Hospital, King Koti",hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4499786,17.435904,"575",n6549122751,"6549122751",node,hospital,,,Wellness Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4788038,17.5072656,"576",n6549122919,"6549122919",node,hospital,,,Refracto Eye Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4590373,17.3448357,"577",n6549133126,"6549133126",node,hospital,,,FATIMA HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.482795,17.5246107,"578",n6549138754,"6549138754",node,hospital,,,JANAPAREDDY HOSPITAL PVT LTD,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3706122,17.4951101,"579",n6549141042,"6549141042",node,hospital,,,ENT CARE HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3415653,17.4944322,"580",n6549141640,"6549141640",node,hospital,,,NAIDU EYE HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5269153,17.344755,"581",n6549145505,"6549145505",node,hospital,,,JEEVAN HOSPITAL,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4416855,17.4205712,"582",n6549145506,"6549145506",node,hospital,,,Times Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4472376,17.5162288,"583",n6549150687,"6549150687",node,hospital,,,MEDIVISION SUPER SPECIALTY HOSPITAL,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3461505,17.494321,"584",n6549150740,"6549150740",node,hospital,,,HEALIX HOSPITAL,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4284984,17.3632928,"585",n6549152212,"6549152212",node,hospital,,,ZOI HOSPITALS,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
